cell_id,cell_lat,cell_lon,centroid_lat,centroid_lon
11.700000000000001_75.4,11.700000000000001,75.4,11.750000000000002,75.45
9.700000000000001_76.9,9.700000000000001,76.9,9.750000000000002,76.95
10.0_76.60000000000001,10.0,76.60000000000001,10.05,76.65
14.8_74.2,14.8,74.2,14.850000000000001,74.25
15.4_74.10000000000001,15.4,74.10000000000001,15.450000000000001,74.15
11.9_75.60000000000001,11.9,75.60000000000001,11.950000000000001,75.65
8.8_77.0,8.8,77.0,8.850000000000001,77.05
8.8_77.2,8.8,77.2,8.850000000000001,77.25
15.200000000000001_74.60000000000001,15.200000000000001,74.60000000000001,15.250000000000002,74.65
10.3_76.2,10.3,76.2,10.350000000000001,76.25
11.100000000000001_76.4,11.100000000000001,76.4,11.150000000000002,76.45
15.0_74.3,15.0,74.3,15.05,74.35
15.700000000000001_73.60000000000001,15.700000000000001,73.60000000000001,15.750000000000002,73.65
11.3_76.10000000000001,11.3,76.10000000000001,11.350000000000001,76.15
12.100000000000001_76.3,12.100000000000001,76.3,12.150000000000002,76.35
17.2_73.5,17.2,73.5,17.25,73.55
16.3_74.3,16.3,74.3,16.35,74.35
12.9_74.8,12.9,74.8,12.950000000000001,74.85
11.700000000000001_76.4,11.700000000000001,76.4,11.750000000000002,76.45
15.3_74.0,15.3,74.0,15.350000000000001,74.05
16.3_74.2,16.3,74.2,16.35,74.25
16.1_73.7,16.1,73.7,16.150000000000002,73.75
10.5_76.0,10.5,76.0,10.55,76.05
11.0_76.10000000000001,11.0,76.10000000000001,11.05,76.15
11.8_75.5,11.8,75.5,11.850000000000001,75.55
15.700000000000001_73.7,15.700000000000001,73.7,15.750000000000002,73.75
16.0_73.60000000000001,16.0,73.60000000000001,16.05,73.65
14.600000000000001_76.10000000000001,14.600000000000001,76.10000000000001,14.650000000000002,76.15
17.6_75.9,17.6,75.9,17.650000000000002,75.95
14.8_74.10000000000001,14.8,74.10000000000001,14.850000000000001,74.15
15.8_73.60000000000001,15.8,73.60000000000001,15.850000000000001,73.65
15.4_74.9,15.4,74.9,15.450000000000001,74.95
9.3_76.80000000000001,9.3,76.80000000000001,9.350000000000001,76.85000000000001
13.4_75.2,13.4,75.2,13.450000000000001,75.25
16.3_73.60000000000001,16.3,73.60000000000001,16.35,73.65
12.0_76.7,12.0,76.7,12.05,76.75
14.600000000000001_75.5,14.600000000000001,75.5,14.650000000000002,75.55
11.4_77.0,11.4,77.0,11.450000000000001,77.05
9.700000000000001_76.2,9.700000000000001,76.2,9.750000000000002,76.25
15.4_73.9,15.4,73.9,15.450000000000001,73.95
11.4_76.7,11.4,76.7,11.450000000000001,76.75
11.600000000000001_76.5,11.600000000000001,76.5,11.650000000000002,76.55
12.200000000000001_75.9,12.200000000000001,75.9,12.250000000000002,75.95
14.700000000000001_74.5,14.700000000000001,74.5,14.750000000000002,74.55
12.5_75.4,12.5,75.4,12.55,75.45
12.5_75.9,12.5,75.9,12.55,75.95
13.5_75.3,13.5,75.3,13.55,75.35
13.0_75.4,13.0,75.4,13.05,75.45
